ID	Functional_category
YAL001C	NUCLEUS
YAL005C	CYTOPLASM
YAL007C	ER
YAL008W	MITOCHON...
YAL009W	NUCLEUS
YAL010C	MITOCHON...
YAL011W	CYTOPLASM
YAL012W	CYTOPLASM
YAL014C	CYTOPLASM
YAL015C	NUCLEUS
YAL016W	CYTOPLASM
YAL017W	CYTOPLASM
YAL019W	NUCLEUS
YAL021C	CYTOPLASM
YAL023C	ER
YAL024C	CYTOPLASM
YAL026C	PUNCTATE...
YAL029C	CELLULAR...
YAL031C	CELLULAR...
YAL032C	NUCLEUS
YAL033W	NUCLEUS
YAL034W_A	MICROTUBULE
YAL035W	CYTOPLASM
YAL036C	CYTOPLASM
YAL038W	CYTOPLASM
YAL039C	MITOCHON...
YAL041W	CYTOPLASM
YAL043C	NUCLEUS
YAL044C	MITOCHON...
YAL047C	CYTOPLASM
YAL049C	CYTOPLASM
YAL053W	BUD TIP
YAL054C	CYTOPLASM
YAL055W	PUNCTATE...
YAL056W	CYTOPLASM
YAL058W	ER
YAL059W	NUCLEUS
YAL060W	CYTOPLASM
YAL061W	CYTOPLASM
YAR002C_A	VACUOLAR...
YAR002W	NUCLEAR ...
YAR003W	NUCLEUS
YAR007C	CYTOPLASM
YAR009C	CYTOPLASM
YAR014C	CYTOPLASM
YAR015W	CYTOPLASM
YAR019C	CYTOPLASM
YAR044W	PUNCTATE...
YAR071W	CYTOPLASM
YBL001C	CYTOPLASM
YBL002W	NUCLEUS
YBL003C	NUCLEUS
YBL004W	NUCLEUS
YBL007C	CELLULAR...
YBL008W	CYTOPLASM
YBL013W	MITOCHON...
YBL014C	NUCLEOLUS
YBL015W	MITOCHON...
YBL016W	CYTOPLASM
YBL017C	PUNCTATE...
YBL018C	NUCLEUS
YBL019W	CYTOPLASM
YBL021C	NUCLEUS
YBL022C	MITOCHON...
YBL023C	NUCLEUS
YBL024W	NUCLEUS
YBL025W	NUCLEOLUS
YBL026W	CYTOPLASM
YBL027W	CYTOPLASM
YBL028C	NUCLEUS
YBL029W	CYTOPLASM
YBL031W	MICROTUBULE
YBL032W	CYTOPLASM
YBL033C	CYTOPLASM
YBL034C	CYTOPLASM
YBL035C	NUCLEUS
YBL036C	CYTOPLASM
YBL037W	CELLULAR...
YBL039C	CYTOPLASM
YBL042C	BUD NECK
YBL045C	MITOCHON...
YBL046W	NUCLEUS
YBL051C	CYTOPLASM
YBL052C	NUCLEUS
YBL054W	CYTOPLASM
YBL055C	CYTOPLASM
YBL056W	CYTOPLASM
YBL057C	MITOCHON...
YBL058W	CYTOPLASM
YBL059C_A	CYTOPLASM
YBL059W	MITOCHON...
YBL060W	BUD NECK
YBL061C	BUD NECK
YBL063W	MICROTUBULE
YBL064C	MITOCHON...
YBL067C	Not Visu...
YBL068W	CYTOPLASM
YBL069W	CYTOPLASM
YBL071W_A	CYTOPLASM
YBL072C	CYTOPLASM
YBL074C	CYTOPLASM
YBL075C	CYTOPLASM
YBL076C	CYTOPLASM
YBL079W	NUCLEAR ...
YBL080C	MITOCHON...
YBL082C	NUCLEUS
YBL084C	CYTOPLASM
YBL086C	CELLULAR...
YBL087C	NUCLEUS
YBL090W	MITOCHON...
YBL091C	CYTOPLASM
YBL093C	NUCLEUS
YBL095W	MITOCHON...
YBL097W	NUCLEUS
