Key	Value
ID	OTHER
YAL001C	OTHER
YAL005C	CYTOPLASM
YAL007C	OTHER
YAL008W	OTHER
YAL009W	OTHER
YAL010C	OTHER
YAL011W	CYTOPLASM
YAL012W	CYTOPLASM
YAL014C	CYTOPLASM
YAL015C	OTHER
YAL016W	CYTOPLASM
YAL017W	CYTOPLASM
YAL019W	OTHER
YAL021C	CYTOPLASM
YAL023C	OTHER
YAL024C	CYTOPLASM
YAL026C	OTHER
YAL029C	OTHER
YAL031C	OTHER
YAL032C	OTHER
YAL033W	OTHER
YAL034W_A	OTHER
YAL035W	CYTOPLASM
YAL036C	CYTOPLASM
YAL038W	CYTOPLASM
YAL039C	OTHER
YAL041W	CYTOPLASM
YAL043C	OTHER
YAL044C	OTHER
YAL047C	CYTOPLASM
YAL049C	CYTOPLASM
YAL053W	OTHER
YAL054C	CYTOPLASM
YAL055W	OTHER
YAL056W	CYTOPLASM
YAL058W	OTHER
YAL059W	OTHER
YAL060W	CYTOPLASM
YAL061W	CYTOPLASM
YAR002C_A	OTHER
YAR002W	OTHER
YAR003W	OTHER
YAR007C	CYTOPLASM
YAR009C	CYTOPLASM
YAR014C	CYTOPLASM
YAR015W	CYTOPLASM
YAR019C	CYTOPLASM
YAR044W	OTHER
YAR071W	CYTOPLASM
YBL001C	CYTOPLASM
YBL002W	OTHER
YBL003C	OTHER
YBL004W	OTHER
YBL007C	OTHER
YBL008W	CYTOPLASM
YBL013W	OTHER
YBL014C	OTHER
YBL015W	OTHER
YBL016W	CYTOPLASM
YBL017C	OTHER
YBL018C	OTHER
YBL019W	CYTOPLASM
YBL021C	OTHER
YBL022C	OTHER
YBL023C	OTHER
YBL024W	OTHER
YBL025W	OTHER
YBL026W	CYTOPLASM
YBL027W	CYTOPLASM
YBL028C	OTHER
YBL029W	CYTOPLASM
YBL031W	OTHER
YBL032W	CYTOPLASM
YBL033C	CYTOPLASM
YBL034C	CYTOPLASM
YBL035C	OTHER
YBL036C	CYTOPLASM
YBL037W	OTHER
YBL039C	CYTOPLASM
YBL042C	OTHER
YBL045C	OTHER
YBL046W	OTHER
YBL051C	CYTOPLASM
YBL052C	OTHER
YBL054W	CYTOPLASM
YBL055C	CYTOPLASM
YBL056W	CYTOPLASM
YBL057C	OTHER
YBL058W	CYTOPLASM
YBL059C_A	CYTOPLASM
YBL059W	OTHER
YBL060W	OTHER
YBL061C	OTHER
YBL063W	OTHER
YBL064C	OTHER
YBL067C	OTHER
YBL068W	CYTOPLASM
YBL069W	CYTOPLASM
YBL071W_A	CYTOPLASM
YBL072C	CYTOPLASM
YBL074C	CYTOPLASM
YBL075C	CYTOPLASM
YBL076C	CYTOPLASM
YBL079W	OTHER
YBL080C	OTHER
YBL082C	OTHER
YBL084C	CYTOPLASM
YBL086C	OTHER
YBL087C	OTHER
YBL090W	OTHER
YBL091C	CYTOPLASM
YBL093C	OTHER
YBL095W	OTHER
YBL097W	OTHER
YBL098W	OTHER
YBL099W	OTHER
YBL102W	OTHER
YBL103C	CYTOPLASM
YBL104C	CYTOPLASM
YBL107C	CYTOPLASM
YBR001C	CYTOPLASM
YBR005W	OTHER
YBR006W	CYTOPLASM
YBR007C	CYTOPLASM
YBR009C	OTHER
YBR010W	OTHER
YBR011C	CYTOPLASM
YBR014C	CYTOPLASM
YBR015C	OTHER
YBR017C	OTHER
YBR023C	OTHER
YBR025C	CYTOPLASM
YBR026C	OTHER
